fund_house,year,aum_lakh_crore,num_schemes
SBI Mutual Fund,2022,9.8,195
SBI Mutual Fund,2023,10.5,198
SBI Mutual Fund,2024,11.8,201
SBI Mutual Fund,2025,12.5,205
HDFC Mutual Fund,2022,8.2,180
HDFC Mutual Fund,2023,8.9,183
HDFC Mutual Fund,2024,9.6,186
HDFC Mutual Fund,2025,10.3,190
ICICI Prudential MF,2022,7.1,175
ICICI Prudential MF,2023,7.8,178
ICICI Prudential MF,2024,8.5,181
ICICI Prudential MF,2025,9.2,184
Nippon India MF,2022,5.8,160
Nippon India MF,2023,6.3,163
Nippon India MF,2024,6.9,166
Nippon India MF,2025,7.4,170
Axis Mutual Fund,2022,4.9,155
Axis Mutual Fund,2023,5.4,158
Axis Mutual Fund,2024,5.9,161
Axis Mutual Fund,2025,6.4,164
Kotak Mahindra MF,2022,5.2,150
Kotak Mahindra MF,2023,5.7,153
Kotak Mahindra MF,2024,6.2,156
Kotak Mahindra MF,2025,6.8,159
UTI Mutual Fund,2022,4.1,140
UTI Mutual Fund,2023,4.5,143
UTI Mutual Fund,2024,4.9,146
UTI Mutual Fund,2025,5.3,149
DSP Mutual Fund,2022,2.8,120
DSP Mutual Fund,2023,3.1,122
DSP Mutual Fund,2024,3.4,125
DSP Mutual Fund,2025,3.7,128
Mirae Asset MF,2022,2.2,110
Mirae Asset MF,2023,2.5,112
Mirae Asset MF,2024,2.8,115
Mirae Asset MF,2025,3.1,118
Franklin Templeton MF,2022,1.9,105
Franklin Templeton MF,2023,2.1,107
Franklin Templeton MF,2024,2.3,109
Franklin Templeton MF,2025,2.5,111
