month,category,net_inflow_crore
2022-01,Large Cap,1512
2022-01,Mid Cap,1239
2022-01,Small Cap,1341
2022-01,Flexi Cap,844
2022-01,Debt,848
2022-01,Hybrid,469
2022-01,Index,418
2022-01,ELSS,1200
2022-01,Liquid,-220
2022-01,Multi Cap,48
2022-02,Large Cap,585
2022-02,Mid Cap,877
2022-02,Small Cap,2260
2022-02,Flexi Cap,2087
2022-02,Debt,1684
2022-02,Hybrid,269
2022-02,Index,2111
2022-02,ELSS,872
2022-02,Liquid,1631
2022-02,Multi Cap,1718
2022-03,Large Cap,519
2022-03,Mid Cap,2104
2022-03,Small Cap,2069
2022-03,Flexi Cap,2354
2022-03,Debt,204
2022-03,Hybrid,-176
2022-03,Index,924
2022-03,ELSS,2252
2022-03,Liquid,1677
2022-03,Multi Cap,1932
2022-04,Large Cap,183
2022-04,Mid Cap,865
2022-04,Small Cap,553
2022-04,Flexi Cap,1082
2022-04,Debt,1544
2022-04,Hybrid,309
2022-04,Index,2436
2022-04,ELSS,805
2022-04,Liquid,164
2022-04,Multi Cap,1570
2022-05,Large Cap,-379
2022-05,Mid Cap,2106
2022-05,Small Cap,-397
2022-05,Flexi Cap,2412
2022-05,Debt,539
2022-05,Hybrid,354
2022-05,Index,1792
2022-05,ELSS,1117
2022-05,Liquid,303
2022-05,Multi Cap,1745
2022-06,Large Cap,-411
2022-06,Mid Cap,1941
2022-06,Small Cap,618
2022-06,Flexi Cap,944
2022-06,Debt,685
2022-06,Hybrid,540
2022-06,Index,1752
2022-06,ELSS,-244
2022-06,Liquid,-5
2022-06,Multi Cap,1709
2022-07,Large Cap,1258
2022-07,Mid Cap,2139
2022-07,Small Cap,1479
2022-07,Flexi Cap,1989
2022-07,Debt,1681
2022-07,Hybrid,615
2022-07,Index,146
2022-07,ELSS,2067
2022-07,Liquid,540
2022-07,Multi Cap,1689
2022-08,Large Cap,2473
2022-08,Mid Cap,-304
2022-08,Small Cap,2403
2022-08,Flexi Cap,189
2022-08,Debt,1076
2022-08,Hybrid,160
2022-08,Index,1035
2022-08,ELSS,1648
2022-08,Liquid,2411
2022-08,Multi Cap,2024
2022-09,Large Cap,971
2022-09,Mid Cap,2345
2022-09,Small Cap,562
2022-09,Flexi Cap,1680
2022-09,Debt,1726
2022-09,Hybrid,2088
2022-09,Index,648
2022-09,ELSS,2110
2022-09,Liquid,1812
2022-09,Multi Cap,1437
2022-10,Large Cap,979
2022-10,Mid Cap,2443
2022-10,Small Cap,142
2022-10,Flexi Cap,2183
2022-10,Debt,1957
2022-10,Hybrid,-36
2022-10,Index,-159
2022-10,ELSS,168
2022-10,Liquid,1842
2022-10,Multi Cap,1876
2022-11,Large Cap,1543
