month,sip_inflow_crore,new_sip_accounts_lakh,active_sip_accounts_crore
2022-01,11000,30,4.5
2022-02,11045,30.3,4.58
2022-03,11090,30.6,4.66
2022-04,11135,30.9,4.74
2022-05,11180,31.2,4.82
2022-06,11225,31.5,4.9
2022-07,11270,31.8,4.98
2022-08,11315,32.1,5.06
2022-09,11360,32.4,5.14
2022-10,11405,32.7,5.22
2022-11,11450,33,5.3
2022-12,11495,33.3,5.38
2023-01,11540,33.6,5.46
2023-02,11585,33.9,5.54
2023-03,11630,34.2,5.62
2023-04,11675,34.5,5.7
2023-05,11720,34.8,5.78
2023-06,11765,35.1,5.86
2023-07,11810,35.4,5.94
2023-08,11855,35.7,6.02
2023-09,11900,36,6.1
2023-10,11945,36.3,6.18
2023-11,11990,36.6,6.26
2023-12,12035,36.9,6.34
2024-01,12080,37.2,6.42
2024-02,12125,37.5,6.5
2024-03,12170,37.8,6.58
2024-04,12215,38.1,6.66
2024-05,12260,38.4,6.74
2024-06,12305,38.7,6.82
2024-07,12350,39,6.9
2024-08,12395,39.3,6.98
2024-09,12440,39.6,7.06
2024-10,12485,39.9,7.14
2024-11,12530,40.2,7.22
2024-12,12575,40.5,7.3
2025-01,12620,40.8,7.38
2025-02,12665,41.1,7.46
2025-03,12710,41.4,7.54
2025-04,12755,41.7,7.62
2025-05,12800,42,7.7
2025-06,12845,42.3,7.78
2025-07,12890,42.6,7.86
2025-08,12935,42.9,7.94
2025-09,12980,43.2,8.02
2025-10,13025,43.5,8.1
2025-11,13070,43.8,8.18
2025-12,31002,44.1,8.26
